playground_size,mpi_task,threads,runtime,mean_time
10000,2,7,10.506426,0.210129
10000,2,7,10.534236,0.210685
10000,2,8,9.295595,0.185912
10000,2,8,9.265427,0.185309
10000,2,8,9.241426,0.184829
10000,2,8,9.266290,0.185326
10000,2,8,9.259726,0.185195
10000,2,9,8.275420,0.165508
10000,2,9,8.277064,0.165541
10000,2,9,8.439750,0.168795
10000,2,9,8.249964,0.164999
10000,2,9,8.273618,0.165472
10000,2,10,7.486721,0.149734
10000,2,10,7.483898,0.149678
10000,2,10,7.458986,0.149180
10000,2,10,7.456825,0.149137
10000,2,10,7.481965,0.149639
10000,2,11,6.846690,0.136934
10000,2,11,6.844413,0.136888
10000,2,11,6.829915,0.136598
10000,2,11,6.843806,0.136876
10000,2,11,6.817208,0.136344
10000,2,12,6.376473,0.127529
10000,2,12,6.292436,0.125849
10000,2,12,6.279498,0.125590
10000,2,12,6.289784,0.125796
10000,2,12,6.284190,0.125684
10000,3,1,47.676639,0.953533
10000,3,1,47.677307,0.953546
10000,3,1,47.657437,0.953149
10000,3,1,47.679288,0.953586
10000,3,1,47.679243,0.953585
10000,3,2,24.052309,0.481046
10000,3,2,24.068006,0.481360
10000,3,2,24.062768,0.481255
10000,3,2,24.071371,0.481427
10000,3,2,24.045801,0.480916
10000,3,3,16.172420,0.323448
10000,3,3,16.153922,0.323078
10000,3,3,16.156504,0.323130
10000,3,3,16.152381,0.323048
10000,3,3,16.127600,0.322552
10000,3,4,12.210952,0.244219
10000,3,4,12.198803,0.243976
10000,3,4,12.204839,0.244097
10000,3,4,12.189959,0.243799
10000,3,4,12.209276,0.244186
10000,3,5,9.834398,0.196688
10000,3,5,9.843673,0.196873
10000,3,5,9.845999,0.196920
10000,3,5,9.856486,0.197130
10000,3,5,9.843105,0.196862
10000,3,6,8.267569,0.165351
10000,3,6,8.260715,0.165214
10000,3,6,8.268128,0.165363
10000,3,6,8.238130,0.164763
10000,3,6,8.266344,0.165327
10000,3,7,7.137625,0.142753
10000,3,7,7.133495,0.142670
10000,3,7,7.110912,0.142218
10000,3,7,7.112081,0.142242
10000,3,7,7.116259,0.142325
10000,3,8,6.301864,0.126037
10000,3,8,6.292176,0.125844
10000,3,8,6.271372,0.125427
10000,3,8,6.303934,0.126079
10000,3,8,6.276579,0.125532
10000,3,9,5.604826,0.112097
10000,3,9,5.637181,0.112744
